ask_cap,spread_cap,edge3,kill_switch_L,total_trades,wins,losses,total_pnl,win_rate,avg_pnl_per_trade,max_drawdown,sharpe_like,pnl_efficiency,bucket3_trades,bucket3_pnl,kill_activations,pnl_saved,delta_pnl,delta_trades
0.74,0.02,0.66,999,1501,1081,420,475.65889985005833,72.018654230513,0.3168946701199589,93.0216633347718,0.6682988586294577,5.11342071081044,443,40.18658869999812,0,0,493.95809606107326,1468
0.74,0.02,0.68,999,1501,1081,420,475.65889985005833,72.018654230513,0.3168946701199589,93.0216633347718,0.6682988586294577,5.11342071081044,443,40.18658869999812,0,0,493.95809606107326,1468
0.7,0.02,0.66,999,1377,982,395,475.23831241222535,71.31445170660857,0.34512586231824643,78.8579280906651,0.7056110639534486,6.026512792294403,264,22.857142857142982,0,0,493.5375086232403,1344
0.7,0.02,0.68,999,1377,982,395,475.23831241222535,71.31445170660857,0.34512586231824643,78.8579280906651,0.7056110639534486,6.026512792294403,264,22.857142857142982,0,0,493.5375086232403,1344
0.7,0.015,0.66,999,1374,979,395,474.4684684454504,71.25181950509462,0.34531911822812983,78.34032974697999,0.6964393288999643,6.056503335866302,231,9.28571428571442,0,0,492.76766465646534,1341
0.7,0.015,0.68,999,1374,979,395,474.4684684454504,71.25181950509462,0.34531911822812983,78.34032974697999,0.6964393288999643,6.056503335866302,231,9.28571428571442,0,0,492.76766465646534,1341
0.74,0.025,0.72,999,1511,1085,426,460.611106658824,71.80675049636002,0.3048385881262899,95.00142831117233,0.6446928004236779,4.848465068863131,351,4.626064420584996,0,0,478.9103028698389,1478
0.74,0.03,0.72,999,1511,1085,426,460.17516152978425,71.80675049636002,0.3045500738119022,95.10799267604875,0.6446207668729392,4.838448889329478,351,4.626064420584996,0,0,478.4743577407992,1478
0.72,0.025,0.7,999,1456,1040,416,460.1046550298197,71.42857142857143,0.3160059443886124,94.19954162803901,0.6533028541928809,4.884361930832018,336,0.6533646322377429,0,0,478.4038512408346,1423
0.72,0.03,0.7,999,1456,1040,416,459.99809066494333,71.42857142857143,0.315932754577571,94.30610599291543,0.6529152319299761,4.877712697622144,336,0.6533646322377429,0,0,478.29728687595826,1423
0.7,0.025,0.66,999,1389,987,402,458.27775378926265,71.05831533477321,0.3299335880412258,78.14667855588618,0.6780318729326462,5.864327982430216,260,21.42857142857155,0,0,476.5769500002776,1356
0.7,0.025,0.68,999,1389,987,402,458.27775378926265,71.05831533477321,0.3299335880412258,78.14667855588618,0.6780318729326462,5.864327982430216,260,21.42857142857155,0,0,476.5769500002776,1356
0.72,0.025,0.66,999,1456,1040,416,458.0248670196798,71.42857142857143,0.3145775185574724,94.51301668125672,0.6510853642874846,4.846156467149489,378,28.779342723004504,0,0,476.3240632306947,1423
0.72,0.025,0.68,999,1456,1040,416,458.0248670196798,71.42857142857143,0.3145775185574724,94.51301668125672,0.6510853642874846,4.846156467149489,378,28.779342723004504,0,0,476.3240632306947,1423
0.7,0.03,0.66,999,1389,987,402,457.85758572203576,71.05831533477321,0.3296310912325671,78.2532429207626,0.677071920558487,5.850972670687292,266,5.714285714285807,0,0,476.1567819330507,1356
0.7,0.03,0.68,999,1389,987,402,457.85758572203576,71.05831533477321,0.3296310912325671,78.2532429207626,0.677071920558487,5.850972670687292,266,5.714285714285807,0,0,476.1567819330507,1356
0.72,0.03,0.66,999,1456,1040,416,457.4094524521381,71.42857142857143,0.3141548437171278,94.61958104613313,0.6501499241789649,4.834194438349094,384,12.763246143527674,0,0,475.70864866315304,1423
0.72,0.03,0.68,999,1456,1040,416,457.4094524521381,71.42857142857143,0.3141548437171278,94.61958104613313,0.6501499241789649,4.834194438349094,384,12.763246143527674,0,0,475.70864866315304,1423
0.74,0.025,0.7,999,1512,1085,427,455.53092864125057,71.75925925925925,0.3012770692071763,94.53428656851844,0.6362017252039579,4.818684788096241,404,-5.4165254391957225,0,0,473.8301248522655,1479
0.74,0.03,0.7,999,1512,1085,427,455.4243642763742,71.75925925925925,0.3012065901298771,94.64085093339486,0.635835757739559,4.81213302484872,404,-5.4165254391957225,0,0,473.72356048738914,1479
0.74,0.025,0.66,999,1512,1085,427,453.5575763468544,71.75925925925925,0.2999719420283428,94.74424195299912,0.634488627797884,4.787178270652648,443,23.32313474412655,0,0,471.8567725578693,1479
0.74,0.025,0.68,999,1512,1085,427,453.5575763468544,71.75925925925925,0.2999719420283428,94.74424195299912,0.634488627797884,4.787178270652648,443,23.32313474412655,0,0,471.8567725578693,1479
0.74,0.03,0.66,999,1512,1085,427,453.0427654010431,71.75925925925925,0.2996314585985735,94.85080631787554,0.6337379885486313,4.776372315515707,448,12.407641786380077,0,0,471.341961612058,1479
0.74,0.03,0.68,999,1512,1085,427,453.0427654010431,71.75925925925925,0.2996314585985735,94.85080631787554,0.6337379885486313,4.776372315515707,448,12.407641786380077,0,0,471.341961612058,1479
0.7,0.015,0.7,5,804,574,230,298.3667781493868,71.39303482587064,0.37110295789724723,76.91783067742216,0.6609699341183188,3.879032670599835,0,0.0,1,-196.5532464125814,316.6659743604017,771
