Rank,ask_cap,spread_cap,edge3,kill_L,trades,wins,losses,WR%,avg_win,avg_loss,total_pnl,pnl/trade,max_dd,worst_day,worst_wk,pnl_std,pct5_boot,slip_adj,efficiency,kill_acts
224,0.72,0.025,0.70,3,33,20,13,60.6,2.34,-5.00,-18.29,-0.554,18.29,-9.33,-18.29,0.26,-53.95,-19.11,-1.00,1
225,0.72,0.030,0.70,3,33,20,13,60.6,2.34,-5.00,-18.29,-0.554,18.29,-9.33,-18.29,0.26,-48.59,-19.11,-1.00,1
226,0.72,0.020,0.70,3,33,20,13,60.6,2.34,-5.00,-18.30,-0.555,18.30,-9.17,-18.30,0.03,-54.70,-19.12,-1.00,1
227,0.72,0.015,0.70,3,33,20,13,60.6,2.33,-5.00,-18.40,-0.557,18.40,-9.38,-18.40,0.25,-54.95,-19.22,-1.00,1
228,0.74,0.015,0.72,3,33,20,13,60.6,2.28,-5.00,-19.41,-0.588,19.41,-11.48,-19.41,2.51,-54.80,-20.24,-1.00,1
229,0.70,0.025,0.70,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-59.04,-23.24,-1.00,1
230,0.70,0.025,0.72,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-53.02,-23.24,-1.00,1
231,0.70,0.025,0.74,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-53.60,-23.24,-1.00,1
232,0.70,0.030,0.70,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-58.83,-23.24,-1.00,1
233,0.70,0.030,0.72,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-59.27,-23.24,-1.00,1
234,0.70,0.030,0.74,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-59.04,-23.24,-1.00,1
235,0.72,0.025,0.72,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-59.38,-23.24,-1.00,1
236,0.72,0.025,0.74,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-53.59,-23.24,-1.00,1
237,0.72,0.030,0.72,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-59.05,-23.24,-1.00,1
238,0.72,0.030,0.74,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-53.48,-23.24,-1.00,1
239,0.74,0.025,0.74,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-59.38,-23.24,-1.00,1
240,0.74,0.030,0.74,3,30,17,13,56.7,2.50,-5.00,-22.49,-0.750,22.49,-12.50,-22.49,1.78,-53.48,-23.24,-1.00,1
241,0.70,0.020,0.70,3,30,17,13,56.7,2.49,-5.00,-22.61,-0.754,22.61,-12.50,-22.61,1.70,-59.27,-23.36,-1.00,1
242,0.70,0.020,0.72,3,30,17,13,56.7,2.49,-5.00,-22.61,-0.754,22.61,-12.50,-22.61,1.70,-53.59,-23.36,-1.00,1
243,0.70,0.020,0.74,3,30,17,13,56.7,2.49,-5.00,-22.61,-0.754,22.61,-12.50,-22.61,1.70,-53.68,-23.36,-1.00,1
244,0.72,0.020,0.72,3,30,17,13,56.7,2.49,-5.00,-22.61,-0.754,22.61,-12.50,-22.61,1.70,-54.15,-23.36,-1.00,1
245,0.72,0.020,0.74,3,30,17,13,56.7,2.49,-5.00,-22.61,-0.754,22.61,-12.50,-22.61,1.70,-59.71,-23.36,-1.00,1
246,0.74,0.020,0.74,3,30,17,13,56.7,2.49,-5.00,-22.61,-0.754,22.61,-12.50,-22.61,1.70,-59.29,-23.36,-1.00,1
247,0.70,0.025,0.66,3,30,17,13,56.7,2.45,-5.00,-23.32,-0.777,23.32,-12.92,-23.32,1.78,-59.68,-24.07,-1.00,1
248,0.70,0.025,0.68,3,30,17,13,56.7,2.45,-5.00,-23.32,-0.777,23.32,-12.92,-23.32,1.78,-60.03,-24.07,-1.00,1
